,Precio,Metros_Construidos,Habitaciones,Baños,Terraza,Garaje,Orientación_norte,Orientación_sur,Orientación_este,Orientación_oeste,Conserje,Ático,Año_construcción,Distancia_centro,Distancia_metro,Barrio
184,190000.0,88.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1925.5,1.38151568530324,0.308674538750272,23.0
185,690000.0,248.5,5,3.5,1.0,0,0,0,0.0,0,0,0,1981.0,1.31788569945831,0.406306455951868,64.0
186,338000.0,130.0,3,2.0,0.0,0,0,0,0.0,0,0,0,1961.0,1.26869774806295,0.313337350597959,23.0
187,690000.0,248.5,5,3.5,0.0,0,0,0,0.0,0,0,0,1956.0,1.51097306687362,0.0979116728263064,23.0
188,690000.0,198.0,3,2.0,1.0,0,0,0,1.0,0,0,0,1976.0,1.22190932242432,0.440539904761271,64.0
189,200000.0,90.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1945.0,1.67652058916196,0.837127997611589,51.0
190,654000.0,189.0,4,3.0,0.0,0,0,0,1.0,0,0,0,1995.0,1.55507404050399,0.125933231479137,44.0
191,285000.0,120.0,4,2.0,0.0,0,0,0,0.0,0,0,0,1984.0,1.83422354386057,0.172157549464162,44.0
192,205000.0,90.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1980.0,1.72002499400481,0.790125769348636,44.0
193,147000.0,49.0,0,1.0,0.0,0,0,0,0.0,0,0,0,1979.0,1.76288344278527,0.282114429566996,44.0
194,239000.0,71.0,2,2.0,0.0,0,0,0,0.0,0,0,0,1962.0,1.71204264706433,0.313115944776698,44.0
195,241000.0,101.0,2,2.0,0.0,0,0,0,0.0,0,0,0,2005.0,1.71419156928813,0.423720032183741,44.0
196,270000.0,110.0,4,2.0,1.0,0,0,0,1.0,0,0,0,1985.0,1.83874966729672,0.208784760533521,44.0
197,539000.0,248.5,4,2.0,0.0,0,0,0,0.0,0,0,0,1964.0,1.88087410864394,0.207141237661394,24.0
198,174000.0,85.0,2,2.0,0.0,0,0,0,0.0,0,0,0,1962.0,2.47480494470618,0.132550051067356,49.0
199,94000.0,81.0,3,1.0,0.0,0,0,0,0.0,0,0,0,1961.0,2.37025732233794,0.243074546052685,49.0
200,68000.0,60.0,3,1.0,0.0,0,0,0,1.0,0,0,0,1965.0,1.72870128530392,0.377382283006497,49.0
